"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devtools","devtools","C:/Users/Victor/Documents/R/win-library/4.1","2.4.2",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dials","dials","C:/Users/Victor/Documents/R/win-library/4.1","0.0.10",NA,"R (>= 2.10), scales","DiceDesign, dplyr (>= 0.8.5), glue, purrr, rlang, tibble,
utils, vctrs (>= 0.3.1), withr",NA,"covr, kernlab, knitr, rmarkdown, rpart, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"DiceDesign","DiceDesign","C:/Users/Victor/Documents/R/win-library/4.1","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"diffobj","diffobj","C:/Users/Victor/Documents/R/win-library/4.1","0.3.4",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"digest","digest","C:/Users/Victor/Documents/R/win-library/4.1","0.6.28",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"directlabels","directlabels","C:/Users/Victor/Documents/R/win-library/4.1","2021.1.13",NA,NA,"grid, quadprog",NA,"MASS, knitr, markdown, inlinedocs, RColorBrewer, ggplot2 (>=
2.0), rlang, lattice, alphahull, nlme, lars, latticeExtra,
dplyr, ggthemes, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"distill","distill","C:/Users/Victor/Documents/R/win-library/4.1","1.2",NA,NA,"utils, stats, tools, rmarkdown (>= 2.6), bookdown (>= 0.8),
xfun (>= 0.2), htmltools, jsonlite (>= 1.3), lubridate, png,
mime, rstudioapi, rprojroot, xml2, base64enc, whisker, stringr,
knitr (>= 1.15.6), digest, yaml, openssl, downlit (>= 0.2)",NA,"htmlwidgets, progress, r2d3, DiagrammeR, shiny, rsconnect,
testthat (>= 3.0.0), withr",NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.1"
"dmacs","dmacs","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,NA,"lavaan, MplusAutomation",NA,"testthat",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"docxtractr","docxtractr","C:/Users/Victor/Documents/R/win-library/4.1","0.6.5",NA,"R (>= 3.6.0)","tools, xml2, purrr, dplyr, utils, httr, magrittr",NA,"covr, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"doParallel","doParallel","C:/Users/Victor/Documents/R/win-library/4.1","1.0.16",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.1.2"
"dotenv","dotenv","C:/Users/Victor/Documents/R/win-library/4.1","1.0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"downlit","downlit","C:/Users/Victor/Documents/R/win-library/4.1","0.2.9000.9001",NA,"R (>= 3.2.0)","desc, brio, digest, evaluate, fansi, rlang, vctrs, yaml",NA,"htmltools, rmarkdown, jsonlite, MASS, testthat (>= 3.0.0),
covr, pkgload, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"downloader","downloader","C:/Users/Victor/Documents/R/win-library/4.1","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"dplyr","dplyr","C:/Users/Victor/Documents/R/win-library/4.1","1.0.7",NA,"R (>= 3.3.0)","ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"droll","droll","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,"R (>= 3.3.0)","methods, Ryacas",NA,"covr, ggplot2, mockery, testthat (>= 3.0.0), tibble, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DT","DT","C:/Users/Victor/Documents/R/win-library/4.1","0.19",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"dtplyr","dtplyr","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,"R (>= 3.3)","crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"dummies","dummies","C:/Users/Victor/Documents/R/win-library/4.1","1.5.6",NA,"utils",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.1"
"e1071","e1071","C:/Users/Victor/Documents/R/win-library/4.1","1.7-9",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"easystats","easystats","C:/Users/Victor/Documents/R/win-library/4.1","0.4.3",NA,NA,"bayestestR (>= 0.10.5), correlation (>= 0.6.1), datawizard (>=
0.1.0), effectsize (>= 0.4.5), insight (>= 0.14.1), modelbased
(>= 0.7.0), parameters (>= 0.14.0), performance (>= 0.7.2),
report (>= 0.3.5), see (>= 0.6.4), tools, utils",NA,"knitr, rvest, spelling, xml2",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"effects","effects","C:/Users/Victor/Documents/R/win-library/4.1","4.2-0",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability, insight",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4, robustlmm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"effectsize","effectsize","C:/Users/Victor/Documents/R/win-library/4.1","0.5.0.2",NA,"R (>= 3.4)","bayestestR (>= 0.10.5), insight (>= 0.14.3), parameters (>=
0.15.0), performance (>= 0.8.0), datawizard (>= 0.2.0), stats,
utils",NA,"correlation (>= 0.6.1), see (>= 0.6.4), afex, BayesFactor,
boot, brms, car, covr, emmeans, gamm4, knitr, lavaan, lm.beta,
lme4, lmerTest, MASS, mediation, mgcv, pscl, rmarkdown, rms,
rstanarm, rstantools, spelling, testthat, tidymodels",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"eha","eha","C:/Users/Victor/Documents/R/win-library/4.1","2.9.0",NA,"R (>= 3.5.0)","stats, graphics, survival (>= 3.0)",NA,"knitr, rmarkdown, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"ellipse","ellipse","C:/Users/Victor/Documents/R/win-library/4.1","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"ellipsis","ellipsis","C:/Users/Victor/Documents/R/win-library/4.1","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"EnvStats","EnvStats","C:/Users/Victor/Documents/R/win-library/4.1","2.4.0",NA,"R (>= 3.1)","MASS, ggplot2, nortest",NA,"lattice, qcc, sp, boot, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
"Epi","Epi","C:/Users/Victor/Documents/R/win-library/4.1","2.44",NA,"R (>= 3.5.0), utils","cmprsk, etm, splines, MASS, survival, purrr, plyr, dplyr,
Matrix, numDeriv, data.table, zoo, mgcv",NA,"mstate, nlme, lme4, popEpi",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"epubr","epubr","C:/Users/Victor/Documents/R/win-library/4.1","0.6.2",NA,NA,"xml2, xslt, magrittr, tibble, dplyr, tidyr",NA,"testthat, knitr, rmarkdown, covr, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"estimability","estimability","C:/Users/Victor/Documents/R/win-library/4.1","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"etm","etm","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,"R (>= 3.0.0)","survival, lattice, data.table, Rcpp (>= 0.11.4)","Rcpp, RcppArmadillo","ggplot2, kmi, geepack",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"evaluate","evaluate","C:/Users/Victor/Documents/R/win-library/4.1","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"Exact","Exact","C:/Users/Victor/Documents/R/win-library/4.1","3.0",NA,"R (>= 3.5.0)","graphics, stats, utils, rootSolve",NA,"ExactData",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"expm","expm","C:/Users/Victor/Documents/R/win-library/4.1","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"expsmooth","expsmooth","C:/Users/Victor/Documents/R/win-library/4.1","2.3",NA,"R (>= 2.0.0), forecast",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"ExtDist","ExtDist","C:/Users/Victor/Documents/R/win-library/4.1","0.6-4",NA,NA,"numDeriv, optimx",NA,"ggplot2, knitr, PerformanceAnalytics, stats, SuppDists,
truncdist, VGAM, xtable, graphics, utils, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"extraDistr","extraDistr","C:/Users/Victor/Documents/R/win-library/4.1","1.9.1",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"extrafont","extrafont","C:/Users/Victor/Documents/R/win-library/4.1","0.17",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"extrafontdb","extrafontdb","C:/Users/Victor/Documents/R/win-library/4.1","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.1.0"
"FactoMineR","FactoMineR","C:/Users/Victor/Documents/R/win-library/4.1","2.4",NA,"R (>= 3.5.0)","car,cluster,DT,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"fansi","fansi","C:/Users/Victor/Documents/R/win-library/4.1","0.5.0",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"farver","farver","C:/Users/Victor/Documents/R/win-library/4.1","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastDummies","fastDummies","C:/Users/Victor/Documents/R/win-library/4.1","1.6.3",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"fastGHQuad","fastGHQuad","C:/Users/Victor/Documents/R/win-library/4.1","1.0",NA,"Rcpp (>= 0.11.0)",NA,"Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmap","fastmap","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"flashClust","flashClust","C:/Users/Victor/Documents/R/win-library/4.1","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.1"
"flexdashboard","flexdashboard","C:/Users/Victor/Documents/R/win-library/4.1","0.5.2",NA,"R (>= 3.0.2)","tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.10.3), shiny (>= 0.13)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"flexsurv","flexsurv","C:/Users/Victor/Documents/R/win-library/4.1","2.0",NA,"survival, R (>= 2.15.0)","assertthat, deSolve, generics, magrittr, mstate (>= 0.2.10),
Matrix, muhaz, mvtnorm, numDeriv, quadprog, Rcpp (>= 0.11.5),
rlang, rstpm2, purrr, tibble, tidyr, dplyr, tidyselect","Rcpp","colorspace, eha, ggplot2, knitr, msm, testthat, TH.data",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"flextable","flextable","C:/Users/Victor/Documents/R/win-library/4.1","0.6.7",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.3.19),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, mgcv, bookdown, equatags",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fma","fma","C:/Users/Victor/Documents/R/win-library/4.1","2.4",NA,"R (>= 2.0.0), forecast (>= 8.1)",NA,NA,"knitr, rmarkdown, tidyverse",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"FNN","FNN","C:/Users/Victor/Documents/R/win-library/4.1","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"forcats","forcats","C:/Users/Victor/Documents/R/win-library/4.1","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"foreach","foreach","C:/Users/Victor/Documents/R/win-library/4.1","1.5.1",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.1"
"forecast","forecast","C:/Users/Victor/Documents/R/win-library/4.1","8.15",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"Formula","Formula","C:/Users/Victor/Documents/R/win-library/4.1","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.1"
"fpp2","fpp2","C:/Users/Victor/Documents/R/win-library/4.1","2.4",NA,"R (>= 2.10)","cli (>= 1.0.0), crayon (>= 1.3.4), expsmooth, fma, forecast
(>= 8.3), ggplot2, magrittr (>= 1.5), purrr (>= 0.2.4),
rstudioapi (>= 0.7)",NA,"GGally,gridExtra,Mcomp,seasonal,tidyverse,vars",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"fracdiff","fracdiff","C:/Users/Victor/Documents/R/win-library/4.1","1.5-1",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"fs","fs","C:/Users/Victor/Documents/R/win-library/4.1","1.5.0",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"fueleconomy","fueleconomy","C:/Users/Victor/Documents/R/win-library/4.1","1.0.0",NA,"R (>= 3.1.0)",NA,NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"furrr","furrr","C:/Users/Victor/Documents/R/win-library/4.1","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"future","future","C:/Users/Victor/Documents/R/win-library/4.1","1.23.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"future.apply","future.apply","C:/Users/Victor/Documents/R/win-library/4.1","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gapminder","gapminder","C:/Users/Victor/Documents/R/win-library/4.1","0.3.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, testthat",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"gargle","gargle","C:/Users/Victor/Documents/R/win-library/4.1","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gdata","gdata","C:/Users/Victor/Documents/R/win-library/4.1","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"gdtools","gdtools","C:/Users/Victor/Documents/R/win-library/4.1","0.2.3",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"generativeart","generativeart","C:/Users/Victor/Documents/R/win-library/4.1","1.0",NA,"R (>= 3.4.1), magrittr, ggplot2","ggplot2, purrr, dplyr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"generics","generics","C:/Users/Victor/Documents/R/win-library/4.1","0.1.1",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"geobr","geobr","C:/Users/Victor/Documents/R/win-library/4.1","1.6.4",NA,"R (>= 3.5.0)","crul, curl, data.table, httr (>= 1.4.1), readr, sf (>= 0.9-3),
utils",NA,"covr, dplyr (>= 0.8-3), ggplot2 (>= 3.3.1), knitr, magrittr,
mapview, rmarkdown (>= 2.6), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"gert","gert","C:/Users/Victor/Documents/R/win-library/4.1","1.3.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"GGally","GGally","C:/Users/Victor/Documents/R/win-library/4.1","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.1"
"ggExtra","ggExtra","C:/Users/Victor/Documents/R/win-library/4.1","0.9",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ggfortify","ggfortify","C:/Users/Victor/Documents/R/win-library/4.1","0.4.12",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata,
markdown, MASS, MSwM, nlme, raster, ROCR, sp, stats,
strucchange, survival, timeSeries, tseries, utils, vars, xts,
zoo, lfda",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ggfun","ggfun","C:/Users/Victor/Documents/R/win-library/4.1","0.0.4",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"ggimage","ggimage","C:/Users/Victor/Documents/R/win-library/4.1","0.2.9",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"ggplot2","ggplot2","C:/Users/Victor/Documents/R/win-library/4.1","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggplotify","ggplotify","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"ggpmisc","ggpmisc","C:/Users/Victor/Documents/R/win-library/4.1","0.4.4",NA,"R (>= 3.6.0), ggpp (>= 0.4.2)","grid, stats, ggplot2 (>= 3.3.3), scales (>= 1.1.1), rlang (>=
0.4.11), generics (>= 0.1.0), MASS (>= 7.3-51.6), polynom (>=
1.4-0), quantreg (>= 5.85), lmodel2 (>= 1.7-3), splus2R (>=
1.3-3), tibble (>= 3.1.5), plyr (>= 1.8.6), dplyr (>= 1.0.6),
lubridate (>= 1.7.10)",NA,"knitr (>= 1.34), rmarkdown (>= 2.10), ggrepel (>= 0.9.1),
broom (>= 0.7.7), broom.mixed (>= 0.2.7), nlme (>= 3.1-152),
gginnards(>= 0.1.0-2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"ggpp","ggpp","C:/Users/Victor/Documents/R/win-library/4.1","0.4.2",NA,"R (>= 3.6.0), ggplot2 (>= 3.3.2)","stats, grid, rlang (>= 0.4.7), magrittr (>= 1.5), glue (>=
1.4.2), gridExtra (>= 2.3), scales (>= 1.1.1), tibble (>=
3.0.3), dplyr (>= 1.0.2), xts (>= 0.12-0), zoo (>= 1.8-8), MASS
(>= 7.3-51.6), polynom (>= 1.4-0), lubridate (>= 1.7.9),
stringr (>= 1.4.0)",NA,"knitr (>= 1.29), rmarkdown (>= 2.3), gginnards(>= 0.1.0),
ggrepel (>= 0.9.1), magick (>= 2.6.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"ggpubr","ggpubr","C:/Users/Victor/Documents/R/win-library/4.1","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ggrepel","ggrepel","C:/Users/Victor/Documents/R/win-library/4.1","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
